domanID,siteID,nmdLctn,gdtcDtm,year,h5_files
D09,PRLA,PRLA.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D10_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D10_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D10_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c0,WGS84,buoy.c0,2019,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c0,WGS84,buoy.c0,2019,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c0,WGS84,buoy.c0,2019,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.inlet,WGS84,inlet,2019,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.inlet,WGS84,inlet,2019,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.inlet,WGS84,inlet,2019,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.outlet,WGS84,outlet,2019,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
